Type of property,State of the property,Locality,Postal Code,Price,Number of bedrooms,Number of bathrooms,Living area,Construction year,Furnished,Number of facades,Number of floors,EPB,Energy class,Fully equipped kitchen,Terrace,Terrace area,Garden,Garden area,Swimming pool,Garage,Bike storage,Balcony,Cellar,Attic,Floor of apartment,Elevator,Air conditioning,Alarm,Access for disabled,Type of heating,URL
Apartment,Excellent,Brussels,1000,1275000,3,4,219,2014,1,2,42,,,1,1,13,,,0,1,,,1,,27,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89261
Apartment,Normal,Brussels,1000,220000,0,0,41,1943,,,4,,,,,,,,,,,,0,0,,0,1,1,0,Electricity,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91284
Apartment,Normal,Brussels,1000,295000,0,0,110,1943,,,4,,,,,,,,,,,,0,0,,0,1,1,0,Electricity,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91285
Apartment,Normal,Brussels,1000,495000,3,1,153,1958,0,3,5,144,C-,,1,10,,,0,,,,1,,3,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91334
Apartment,,Brussels,1000,170000,1,1,50,,,2,,417,G,,,,,,,,0,,0,,4,,,,,,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91595
Apartment,Excellent,Brussels,1000,265000,1,1,83,2010,0,2,6,127,C,1,,,,,,,,,,,2,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91627
Apartment,Excellent,Brussels,1000,438000,2,1,116,,0,2,8,109,C+,1,1,16,,,,,,,,,4,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc91757
Apartment,Normal,Laken,1020,249000,2,1,80,1970,0,2,4,260,E-,1,1,4,,,,,,,1,,3,1,,,0,Fuel oil,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc91461
Apartment,To be renovated,Laken,1020,199000,2,1,80,1965,0,4,19,131,C,,1,2,,,,,0,,0,,11,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc91584
Apartment,To be renovated,Schaarbeek,1030,215000,3,1,130,1908,0,2,3,436,G,1,1,2,,,0,,,,,,0,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbc89520
Apartment,To be renovated,Schaarbeek,1030,150000,1,1,78,1908,0,2,3,436,G,1,1,6,,,0,,,,,,0,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbc91381
Apartment,Excellent,Schaarbeek,1030,610000,3,2,165,1927,,2,,178,D,,,,,,,1,,,,,,,0,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vwd13926
Apartment,Excellent,Etterbeek,1040,345000,2,1,80,,0,2,2,352,G,1,,,,,0,,,,,,1,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbc91324
Apartment,Excellent,Etterbeek,1040,540000,2,2,98,1978,0,2,10,115,C,,1,5,,,0,1,,,1,,7,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbc91352
Apartment,Normal,Elsene,1050,175000,1,1,54,,0,2,,,,1,1,4,,,,,,,,,,0,,,0,,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91248
Apartment,,Elsene,1050,325000,2,1,102,,,2,,216,E+,,1,3,,,,,0,,0,0,1,,,,,,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91274
Apartment,Normal,Elsene,1050,495000,1,2,96,,,2,4,278,F,,1,25,,,0,,0,,0,0,4,1,0,0,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91435
Apartment,To renovate,Elsene,1050,315000,1,1,80,1976,,,12,,,,1,,,,,,,,0,,3,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91458
Apartment,Normal,Elsene,1050,690000,2,2,136,1900,0,2,1,169,D+,,,,,,,,0,,0,,,0,,,,,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91569
Apartment,,Elsene,1050,640000,3,3,150,1935,0,3,6,273,E-,,1,5,,,,,0,,0,,3,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91581
Apartment,Normal,Elsene,1050,495000,2,2,96,,,2,4,278,F,,1,25,,,,,0,,0,,4,1,0,0,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91587
Apartment,To renovate,Elsene,1050,329000,2,1,103,1934,0,2,4,253,E-,1,1,3,,,,,,,,,2,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbc91745
Apartment,To be renovated,Sint-Gillis,1060,290000,4,1,175,,,2,3,964,G,1,1,3,,,0,,0,,0,1,2,,0,0,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1060/sint-gillis/vbc70285
Apartment,To be renovated,Anderlecht,1070,235000,2,1,84,1962,0,3,2,435,G,1,,,,,,,,,1,,2,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/rbt72600
Apartment,To be renovated,Anderlecht,1070,375000,2,1,127,,,,,228,E+,,1,6,,,0,,0,,1,0,3,1,0,0,,Fuel oil,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbc88409
Apartment,,Anderlecht,1070,170000,1,1,51,2015,0,,3,128,C,,1,,,,,,0,,0,0,3,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbc91407
Apartment,To renovate,Anderlecht,1070,400000,3,1,142,2004,0,2,,224,E+,1,1,,,,,,,,1,,3,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbc91540
Apartment,,Sint-Jans-Molenbeek,1080,159000,1,1,48,,,1,,210,E+,,1,7,,,,,0,,0,0,8,,,,,Electricity,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbc91275
Apartment,To be renovated,Sint-Jans-Molenbeek,1080,220000,2,1,90,1963,0,,6,154,D+,,1,,,,0,1,0,,0,0,4,1,,0,,Fuel oil,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbc91433
Apartment,Normal,Sint-Jans-Molenbeek,1080,280000,2,1,95,1970,0,2,25,103,C+,1,1,7,,,,,,,1,,2,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbc91524
Apartment,Normal,Ganshoren,1083,349000,4,5,158,1966,0,3,21,211,E+,1,1,,,,0,1,,,1,,13,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/rbt72287
Apartment,New,Jette,1090,,3,2,110,,,2,1,,,,1,8,1,,0,,0,,0,0,0,,,,,,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/rbt70097
Apartment,Excellent,Jette,1090,235000,2,1,85,1976,0,,25,151,D+,,1,13,,,,,0,,0,0,4,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/rbt72324
Apartment,Excellent,Jette,1090,239000,1,1,88,1973,0,2,25,69,B,1,1,9,,,1,1,,,1,,22,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbc91531
Apartment,,Evere,1140,229000,2,1,100,,,2,,,,,1,6,,,,1,0,,0,0,3,,,,,Fuel oil,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbc51183
Apartment,Excellent,Evere,1140,349000,2,1,96,1997,0,3,4,109,C+,,1,30,,,0,,,,1,,0,1,,,1,,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbc89815
Apartment,To be renovated,Watermaal-Bosvoorde,1170,500000,3,2,110,,0,,8,,,,1,,,,,1,0,,0,0,5,0,,,,,https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbc91330
Apartment,Excellent,Ukkel,1180,285000,1,1,64,,,2,4,86,B-,,1,5,,,0,,,,1,,1,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc88512
Apartment,,Ukkel,1180,645000,3,2,130,,,4,,63,B,,1,6,,,,1,0,,0,,1,,,,,,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc91541
Apartment,Normal,Vorst,1190,219000,1,1,65,,0,3,5,271,E-,1,1,9,,,0,,,,1,,1,1,,,1,Fuel oil,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbc91316
Apartment,New,Vorst,1190,314000,1,1,87,2023,0,2,6,95,C+,1,1,23,1,,0,1,,,1,,1,1,,,1,,https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbc91354
Apartment,Normal,Sint-Lambrechts-Woluwe,1200,445000,2,2,123,1940,0,2,6,170,D,1,1,7,,,0,,,,1,,2,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbc91353
Apartment,Normal,Sint-Lambrechts-Woluwe,1200,525000,2,2,134,2006,,,3,88,B-,,1,16,,,,1,0,,0,,2,1,0,0,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbc91454
Apartment,To renovate,Sint-Lambrechts-Woluwe,1200,195000,1,1,58,1968,0,2,15,232,E,1,1,9,,,,,,,1,,12,1,,,1,Gas,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbc91465
Apartment,New,Sint-Lambrechts-Woluwe,1200,365000,1,1,71,2025,0,2,6,95,C+,1,1,5,,,,1,,,1,,2,1,,,1,,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbc91652
Apartment,New,Chaumont-Gistoux,1325,499000,2,2,133,2023,,2,2,80,B-,1,1,14,1,,0,1,,,,,0,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1325/chaumont-gistoux/vbc44078
Apartment,New,Chaumont-Gistoux,1325,599000,2,2,135,2023,,3,2,85,B-,1,1,29,,,0,1,,,,1,,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1325/chaumont-gistoux/vbc44488
Apartment,,Louvain-la-Neuve,1348,440000,3,1,95,,0,,2,198,D-,1,1,,,,,,0,,0,0,,0,,,,,https://immovlan.be/en/detail/apartment/for-sale/1348/louvain-la-neuve/vbc87693
Apartment,Excellent,Orp-le-Grand,1350,299800,2,1,113,2024,0,3,2,109,C+,1,1,,1,35,0,,,,,,,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1350/orp-le-grand/vbc88488
Apartment,,Halle,1500,305000,1,0,70,,,,,,,,1,6,,,,,0,0,0,,3,1,0,0,0,,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbt72790
Apartment,Excellent,Sint-Pieters-Leeuw,1600,285000,2,1,72,1967,0,,2,244,E,1,1,8,,,,1,,,1,,1,0,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1600/sint-pieters-leeuw/rbt72598
Apartment,,Asse,1730,180000,1,1,68,1973,,,8,141,C-,,1,,,,0,,0,1,0,0,7,1,0,0,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1730/asse/rbt67945
Apartment,Normal,Affligem,1790,298000,3,2,160,1970,0,,2,319,F,,1,80,,,,1,0,,0,,,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/1790/affligem/rbt72700
Apartment,Normal,Grimbergen,1850,290000,2,1,93,2005,,,3,157,D+,,1,4,,,,1,,,0,,1,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/1850/grimbergen/rbt72530
Apartment,To be renovated,Antwerp,2000,215000,2,1,85,,,2,,205,D-,,1,6,,,0,,0,,0,0,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbt72395
Apartment,To be renovated,Antwerp,2018,345000,3,1,122,1958,,,,245,E,,1,21,,,0,,0,,0,0,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbt72392
Apartment,Normal,Antwerp,2020,195000,2,1,83,1959,0,2,,192,D-,,,,,,,,0,,0,,1,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2020/antwerp/rbt72728
Apartment,Normal,Antwerp,2050,225000,2,1,85,,0,2,,,,,1,6,,,,,0,,0,,,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbt72671
Apartment,,Deurne,2100,249000,1,1,85,1964,,,,0,A+,,,,,,,,0,0,0,,0,0,,0,0,,https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbt72792
Apartment,Excellent,Borgerhout,2140,289000,2,1,90,1989,0,2,,228,E+,,1,,,,,1,0,,0,0,1,0,,,,Electricity,https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbt72398
Apartment,Excellent,Borsbeek,2150,299000,3,1,103,1998,0,2,2,83,B-,1,1,3,,,0,1,,,,,1,0,1,,0,Hot air,https://immovlan.be/en/detail/apartment/for-sale/2150/borsbeek/rbt72242
Apartment,Fully renovated,Merksem,2170,290000,2,2,95,,,2,2,,,,1,8,,,0,,0,,0,0,2,,,,,,https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbt72393
Apartment,,Heist-op-den-Berg,2220,249000,2,1,95,1985,,2,2,136,C-,,1,,,,0,,0,,0,0,2,,,,,,https://immovlan.be/en/detail/apartment/for-sale/2220/heist-op-den-berg/rbt72358
Apartment,New,Zandhoven,2240,279000,1,1,80,2023,0,2,2,,,,1,12,,,,,0,,0,,,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72743
Apartment,New,Zandhoven,2240,332000,2,1,91,2023,0,2,2,,,,1,13,,,,,0,,0,,,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72744
Apartment,New,Zandhoven,2240,359000,2,1,103,2023,0,2,2,,,,1,12,,,,,0,,0,,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72745
Apartment,New,Zandhoven,2240,400000,2,1,95,2023,0,2,2,,,,1,22,,,,,0,,0,,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72746
Apartment,New,Zandhoven,2240,321000,1,1,85,2023,0,2,2,,,,1,11,,,,,0,,0,,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72747
Apartment,New,Zandhoven,2240,400000,1,1,90,2023,0,2,2,,,,1,14,,,,,0,,0,,2,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72748
Apartment,New,Zandhoven,2240,251250,1,1,73,2023,0,2,3,,,,1,8,,,,,0,,0,,2,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72749
Apartment,New,Zandhoven,2240,259000,1,1,75,2023,0,2,3,,,,1,6,,,,,0,,0,,1,1,,,,,https://immovlan.be/en/detail/apartment/for-sale/2240/zandhoven/rbt72751
Apartment,Normal,Zoerle-Parwijs,2260,195000,2,1,102,1967,0,2,2,257,E-,,,,,,,,0,,0,0,1,0,,,,,https://immovlan.be/en/detail/apartment/for-sale/2260/zoerle-parwijs/rbt67578
Apartment,To be renovated,Turnhout,2300,169000,3,2,118,1972,0,3,5,262,E-,,1,,,,,1,0,,0,0,4,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbt66859
Apartment,Normal,Turnhout,2300,219000,1,1,58,1955,0,2,,169,D+,,1,,,,,,0,,0,,1,0,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbt72803
Apartment,Normal,Balen,2490,169000,1,1,85,,0,2,,593,G,,1,,,,,,0,,0,0,,0,,,,Electricity,https://immovlan.be/en/detail/apartment/for-sale/2490/balen/rbt72312
Apartment,New,Lier,2500,361200,2,1,116,2023,0,2,3,,,1,1,8,1,27,,,0,,0,0,,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt67551
Apartment,New,Lier,2500,302000,2,1,93,2023,0,2,3,,,1,1,8,1,,,,0,,0,0,,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt67552
Apartment,Normal,Lier,2500,325000,2,1,101,1984,0,3,4,195,D-,,1,8,,,,,0,,0,0,1,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rbt72466
Apartment,Normal,Putte,2580,290000,2,1,91,2008,0,,3,113,C,,1,,,,,1,0,,0,,2,1,,,,Gas,https://immovlan.be/en/detail/apartment/for-sale/2580/putte/rbt72721
Apartment,Normal,Hoboken,2660,229000,2,1,90,2014,,,2,140,C-,,1,8,,,,,,,0,,2,1,,,0,Gas,https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbt72655
